Date,Gas Production
10/14/2015,979.9352
10/15/2015,976.4887
10/16/2015,978.0857
10/17/2015,977.1611
10/18/2015,965.9993
10/19/2015,971.3571
10/20/2015,968.6024
10/21/2015,968.4613
10/22/2015,971.3746
10/23/2015,975.7211
10/24/2015,978.4349
10/25/2015,970.5208
10/26/2015,974.2131
10/27/2015,976.3254
10/28/2015,974.3287
10/29/2015,971.6687
10/30/2015,971.915
10/31/2015,970.13
11/1/2015,973.89
11/2/2015,971.8964
11/3/2015,971.611
11/4/2015,977.9475
11/5/2015,967.3344
11/6/2015,978.3591
11/7/2015,929.2766
11/8/2015,969.0588
11/9/2015,968.5169
11/10/2015,967.0688
11/11/2015,965.5209
11/12/2015,975.3928
11/13/2015,973.269
11/14/2015,964.7026
11/15/2015,956.9875
11/16/2015,954.1239
11/17/2015,954.5008
11/18/2015,967.6166
11/19/2015,969.0978
11/20/2015,944.1108
11/21/2015,944.6879
11/22/2015,957.8927
11/23/2015,955.773
11/24/2015,955.2079
11/25/2015,952.7086
11/26/2015,954.18288
11/27/2015,959.0377
11/28/2015,950.898
11/29/2015,946.5791
11/30/2015,935.304
12/1/2015,926.8004
12/2/2015,1139.093
12/3/2015,1338.765
12/4/2015,1331.892387
12/5/2015,1361.698
12/6/2015,1364.007
12/7/2015,1359.36
12/8/2015,1360.265
12/9/2015,1342.589
12/10/2015,1326.567
12/11/2015,1352.758
12/12/2015,1352.7
12/13/2015,1353.311
12/14/2015,1342.099
12/15/2015,1347.577
12/16/2015,1361.146
12/17/2015,1767.107
12/18/2015,1917.12
12/19/2015,1907.718
12/20/2015,1899.698
12/21/2015,1891.318
12/22/2015,1881.512
12/23/2015,1869.255
12/24/2015,1857.16
12/25/2015,1844.823
12/26/2015,1835.253
12/27/2015,1828.736
12/28/2015,1818.476
12/29/2015,1787.356
12/30/2015,1788.643
12/31/2015,1776.878
1/1/2016,1743.088
1/2/2016,1718.55
1/3/2016,1768.42
1/4/2016,1769.375
1/5/2016,1759.491
1/6/2016,1778.419
1/7/2016,1761.20117
1/8/2016,1745.72543
1/9/2016,1686.38757
1/10/2016,1656.2416
1/11/2016,1684.02575
1/12/2016,1715.227
1/13/2016,1707.731
1/14/2016,1703.463
1/15/2016,1694.067
1/16/2016,1683.807
1/17/2016,1673.925
1/18/2016,1664.625
1/19/2016,1656.36
1/20/2016,1652.045
1/21/2016,1640.244
1/22/2016,1631.61944
1/23/2016,1624.40732
1/24/2016,1615.841
1/25/2016,1607.273
1/26/2016,1601.695
1/27/2016,1594.817
1/28/2016,1587.206
1/29/2016,1579.432
1/30/2016,1573.066
1/31/2016,1657.776
2/1/2016,1813.97
2/2/2016,1679.206
2/3/2016,1667.144
