Well identifier,Surface,MD
Norean-1,ROSABLANCA LIMESTONE,5787.4
Norean-1,RB1 TOP,5818.58
Norean-1,RB2 TOP,5867.64
Norean-1,RB2 BASE,5889.17
Norean-1,TOTAL DEPTH,5900
Preludio-1,REAL,0
Preludio-1,TABLAZO,4102
Preludio-1,PAJA,4315
Preludio-1,ROSABLANCA MARLSTONE,4487
Preludio-1,ROSABLANCA LIMESTONE,4657
Preludio-1,RB1 TOP,4689
Preludio-1,RB2 TOP,4740
Preludio-1,RB2 BASE,4763
Preludio-1,TAMBOR,5160
Preludio-1,TOTAL DEPTH,5340
Reposo-1,UNCONFORMITY,2073
Reposo-1,UMIR,2073
Reposo-1,SIMITI,3872
Reposo-1,TABLAZO,4771
Reposo-1,PAJA,4958
Reposo-1,ROSABLANCA MARLSTONE,5188.82
Reposo-1,ROSABLANCA LIMESTONE,5340.92
Reposo-1,RB1 TOP,5367.04
Reposo-1,RB2 TOP,5401.08
Sabal-1,REAL,0
Sabal-1,SIMITI,3822.44
Sabal-1,TABLAZO,4283.73
Sabal-1,PAJA,4499
Sabal-1,ROSABLANCA MARLSTONE,4687.6
Sabal-1,ROSABLANCA LIMESTONE,4864.56
Sabal-1,RB1 TOP,4891.77
Sabal-1,RB2 TOP,4951.59
Sabal-1,RB2 BASE,4968.57
Sabal-1,TOTAL DEPTH,5330
Toposi-1,REAL,0
Toposi-1,UNCONFORMITY,2544.57
Toposi-1,LA LUNA,2544.57
Toposi-1,SIMITI,3139.99
Toposi-1,TABLAZO,3670.16
Toposi-1,PAJA,3810.84
Toposi-1,ROSABLANCA MARLSTONE,4059.18
Toposi-1,ROSABLANCA LIMESTONE,4244.23
Toposi-1,RB1 TOP,4277.16
Toposi-1,RB2 TOP,4328.93
Toposi-1,RB2 BASE,4355.18
Toposi-1,TAMBOR,4760.55
Toposi-1,GIRON,4779.13
Toposi-1,TOTAL DEPTH,4817
Toposi-2,REAL,0
Toposi-2,UNCONFORMITY,2503.73
Toposi-2,LA LUNA,2503.73
Toposi-2,SIMITI,3063.26
Toposi-2,TABLAZO,3576.53
Toposi-2,PAJA,3700.05
Toposi-2,ROSABLANCA MARLSTONE,3953.93
Toposi-2,ROSABLANCA LIMESTONE,4117.28
Toposi-2,RB1 TOP,4150
Toposi-2,RB2 TOP,4200
Toposi-2,RB2 BASE,4224
Toposi-2,TAMBOR,4628.16
Toposi-2,TOTAL DEPTH,4640
Toposi-2HST1,UNCONFORMITY,2512
Toposi-2HST1,LA LUNA,2512
Toposi-2HST1,SALTO LIMESTONE,2843
Toposi-2HST1,SIMITI,3075
Toposi-2HST1,TABLAZO,3594
Toposi-2HST1,PAJA,3737
Toposi-2HST1,ROSABLANCA MARLSTONE,4070
Toposi-2HST1,ROSABLANCA LIMESTONE,4644
Toposi-2HST1,TOTAL DEPTH,6737
