X,Y,Z
1045389.659,1412256.064,0
1045389.659,1412256.064,15
1045389.64,1412256.077,138.5
1045389.583,1412256.116,262
1045389.503,1412256.146,441.3333333
1045389.487,1412256.087,620.6666667
1045389.533,1412255.936,800
1045389.538,1412255.89,847.5
1045389.511,1412255.852,895
1045389.473,1412255.828,957.6666667
1045389.47,1412255.84,1020.333333
1045389.502,1412255.889,1083
1045389.535,1412255.945,1106.5
1045389.597,1412256.061,1130
1045389.691,1412256.244,1154
1045389.814,1412256.49,1178
1045390.025,1412256.904,1209
1045390.299,1412257.43,1240
1045390.635,1412258.069,1271
1045391.029,1412258.823,1302
1045391.474,1412259.698,1333
1045391.971,1412260.694,1364
1045392.52,1412261.813,1395.333333
1045393.113,1412263.038,1426.666667
1045393.747,1412264.368,1458
1045394.442,1412265.823,1489.666667
1045395.198,1412267.391,1521.333333
1045396.016,1412269.074,1553
1045396.862,1412270.84,1584
1045397.736,1412272.731,1615
1045398.638,1412274.747,1646
1045399.586,1412276.876,1677
1045400.597,1412279.103,1708
1045401.67,1412281.43,1739
1045402.784,1412283.837,1769.666667
1045403.941,1412286.357,1800.333333
1045405.138,1412288.99,1831
1045406.423,1412291.802,1862.333333
1045407.787,1412294.744,1893.666667
1045409.23,1412297.815,1925
1045410.735,1412301.007,1956.333333
1045412.286,1412304.31,1987.666667
1045413.883,1412307.725,2019
1045415.51,1412311.202,2050
1045417.186,1412314.765,2081
1045418.911,1412318.414,2112
1045420.59,1412321.966,2141.333333
1045422.316,1412325.632,2170.666667
1045424.088,1412329.412,2200
1045424.272,1412329.805,2203
1045424.457,1412330.199,2206
1045427.369,1412336.465,2253.5
1045430.261,1412342.76,2301
1045433.066,1412348.945,2347.5
1045435.837,1412355.145,2394
1045438.617,1412361.418,2441
1045441.391,1412367.688,2488
1045444.177,1412373.986,2535.5
1045446.936,1412380.21,2583
1045448.739,1412384.242,2614.333333
1045450.526,1412388.177,2645.666667
1045452.298,1412392.013,2677
1045454.052,1412395.764,2708.333333
1045455.785,1412399.442,2739.666667
1045457.497,1412403.046,2771
1045459.227,1412406.634,2802.333333
1045461.017,1412410.261,2833.666667
1045462.866,1412413.926,2865
1045464.743,1412417.586,2896
1045466.657,1412421.273,2927
1045468.608,1412424.989,2958
1045470.586,1412428.8,2989.333333
1045472.54,1412432.696,3020.666667
1045474.468,1412436.676,3052
1045476.422,1412440.771,3083.666667
1045478.411,1412444.929,3115.333333
1045480.437,1412449.149,3147
1045483.431,1412455.364,3193.5
1045486.414,1412461.526,3240
1045488.437,1412465.675,3271.666667
1045490.45,1412469.767,3303.333333
1045492.452,1412473.8,3335
1045494.437,1412477.791,3366.333333
1045496.437,1412481.837,3397.666667
1045498.452,1412485.94,3429
1045500.457,1412490.096,3460.333333
1045502.422,1412494.304,3491.666667
1045504.349,1412498.563,3523
1045506.253,1412502.814,3554.333333
1045508.148,1412506.999,3585.666667
1045510.036,1412511.118,3617
1045511.898,1412515.221,3648.333333
1045513.718,1412519.361,3679.666667
1045515.496,1412523.537,3711
1045517.275,1412527.742,3742.333333
1045519.096,1412531.97,3773.666667
1045520.96,1412536.221,3805
1045522.869,1412540.504,3836.333333
1045524.827,1412544.828,3867.666667
1045526.833,1412549.192,3899
1045528.87,1412553.574,3930.666667
1045530.877,1412557.857,3962.333333
1045532.853,1412562.042,3994
1045535.794,1412568.174,4041
1045538.795,1412574.298,4088
1045541.923,1412580.598,4136.666667
1045545.027,1412586.825,4185.333333
1045548.107,1412592.98,4234
1045551.112,1412598.915,4281.5
1045554.138,1412604.775,4329
1045556.01,1412608.422,4358.666667
1045557.834,1412612.092,4388.333333
1045559.61,1412615.783,4418
1045562.381,1412621.634,4465
1045565.147,1412627.459,4512
1045566.978,1412631.262,4543
1045568.827,1412635.003,4574
1045570.694,1412638.682,4605
1045572.13,1412641.401,4628.5
1045573.591,1412644.028,4652
1045575.078,1412646.561,4675.5
1045576.59,1412649.002,4699
1045578.783,1412652.38,4732.666667
1045580.994,1412655.656,4766.333333
1045583.222,1412658.83,4800
