X,Y,Z
1044670.846,1413258.246,0
1044670.846,1413258.246,22
1044670.843,1413258.245,61
1044670.836,1413258.242,100
1044670.827,1413258.237,150
1044670.824,1413258.233,200
1044670.827,1413258.231,250
1044670.834,1413258.231,300
1044670.846,1413258.229,350
1044670.858,1413258.226,400
1044670.862,1413258.224,450
1044670.849,1413258.226,500
1044670.823,1413258.228,550
1044670.786,1413258.23,600
1044670.737,1413258.232,650
1044670.674,1413258.232,700
1044670.573,1413258.225,750
1044670.408,1413258.202,800
1044670.253,1413258.17,833.3333333
1044670.052,1413258.113,866.6666667
1044669.804,1413258.03,900
1044669.726,1413258.003,909
1044669.641,1413257.972,918
1044669.341,1413257.862,945.3333333
1044668.989,1413257.732,972.6666667
1044668.583,1413257.583,1000
1044668.022,1413257.385,1033.333333
1044667.395,1413257.177,1066.666667
1044666.701,1413256.961,1100
1044665.943,1413256.731,1133.333333
1044665.125,1413256.48,1166.666667
1044664.247,1413256.208,1200
1044662.889,1413255.77,1250
1044661.541,1413255.3,1300
1044660.651,1413254.952,1333.333333
1044659.773,1413254.552,1366.666667
1044658.907,1413254.102,1400
1044657.598,1413253.352,1450
1044656.252,1413252.527,1500
1044655.319,1413251.943,1533.333333
1044654.339,1413251.338,1566.666667
1044653.314,1413250.713,1600
1044652.373,1413250.141,1629
1044651.376,1413249.529,1658
1044649.903,1413248.596,1698.666667
1044648.357,1413247.57,1739.333333
1044646.741,1413246.451,1780
1044645.429,1413245.525,1811.666667
1044644.067,1413244.562,1843.333333
1044642.655,1413243.562,1875
1044641.199,1413242.52,1906.666667
1044639.702,1413241.428,1938.333333
1044638.165,1413240.285,1970
1044636.583,1413239.074,2001.666667
1044634.953,1413237.774,2033.333333
1044633.274,1413236.385,2065
1044631.568,1413234.946,2096.333333
1044629.818,1413233.461,2127.666667
1044628.026,1413231.933,2159
1044626.175,1413230.349,2190.666667
1044624.291,1413228.732,2222.333333
1044622.374,1413227.082,2254
1044619.546,1413224.635,2300
1044616.684,1413222.136,2346
1044613.706,1413219.572,2393
1044610.655,1413217.037,2440
1044608.556,1413215.36,2471.666667
1044606.418,1413213.725,2503.333333
1044604.241,1413212.131,2535
1044602.154,1413210.641,2565.333333
1044600.099,1413209.18,2595.666667
1044598.076,1413207.75,2626
1044595.988,1413206.275,2658
1044593.961,1413204.833,2690
1044591.995,1413203.425,2722
1044589.245,1413201.444,2768
1044586.563,1413199.501,2814
1044584.726,1413198.184,2845.333333
1044582.822,1413196.854,2876.666667
1044580.852,1413195.511,2908
1044578.793,1413194.163,2939.333333
1044576.625,1413192.817,2970.666667
1044574.347,1413191.473,3002
1044571.946,1413190.133,3033.333333
1044569.408,1413188.802,3064.666667
1044566.735,1413187.48,3096
1044563.896,1413186.087,3128
1044560.979,1413184.603,3160
1044557.984,1413183.028,3192
1044555.658,1413181.81,3216
1044553.231,1413180.586,3240
1044550.705,1413179.358,3264
1044548.078,1413178.125,3288
1044544.544,1413176.525,3319
1044540.856,1413174.916,3350
1044537.014,1413173.299,3381
1044533.036,1413171.705,3412
1044528.938,1413170.167,3443
1044524.721,1413168.685,3474
1044520.325,1413167.207,3505.333333
1044515.784,1413165.714,3536.666667
1044511.099,1413164.206,3568
1044507.367,1413163.052,3592.25
1044503.534,1413161.935,3616.5
1044499.601,1413160.855,3640.75
1044495.568,1413159.813,3665
1044490.461,1413158.553,3695
1044485.24,1413157.302,3725
1044479.904,1413156.061,3755
1044474.292,1413154.833,3786
1044468.599,1413153.702,3817
1044462.825,1413152.67,3848
1044458.238,1413151.918,3872.25
1044453.576,1413151.202,3896.5
1044448.839,1413150.52,3920.75
1044444.027,1413149.875,3945
1044438.041,1413149.118,3974.666667
1044431.948,1413148.386,4004.333333
1044425.75,1413147.678,4034
1044420.121,1413147.096,4060.5
1044414.402,1413146.592,4087
1044408.595,1413146.166,4113.5
1044402.703,1413145.819,4140
1044396.189,1413145.494,4169
1044389.639,1413145.194,4198
1044383.053,1413144.917,4227
1044375.957,1413144.657,4258
1044368.789,1413144.439,4289
1044361.552,1413144.265,4320
1044354.552,1413144.127,4349.666667
1044347.469,1413144.006,4379.333333
1044340.305,1413143.899,4409
1044332.565,1413143.787,4440.666667
1044324.727,1413143.658,4472.333333
1044316.794,1413143.513,4504
1044308.863,1413143.382,4535.333333
1044300.865,1413143.294,4566.666667
1044292.802,1413143.249,4598
1044284.667,1413143.237,4629.333333
1044276.458,1413143.249,4660.666667
1044268.174,1413143.285,4692
1044259.752,1413143.355,4723.666667
1044251.303,1413143.47,4755.333333
1044242.828,1413143.629,4787
1044234.43,1413143.836,4818.333333
1044226.037,1413144.102,4849.666667
1044217.648,1413144.424,4881
1044205.328,1413144.943,4927
1044192.995,1413145.466,4973
1044184.416,1413145.797,5005
1044175.85,1413146.056,5037
1044167.298,1413146.245,5069
1044154.748,1413146.504,5116
1044142.198,1413146.828,5163
1044133.838,1413147.045,5194.333333
1044125.488,1413147.22,5225.666667
1044117.15,1413147.353,5257
1044104.798,1413147.514,5303.5
1044092.475,1413147.666,5350
1044080.048,1413147.848,5397
1044067.65,1413148.099,5444
1044059.389,1413148.265,5475.333333
1044051.114,1413148.383,5506.666667
1044042.828,1413148.453,5538
1044030.379,1413148.531,5585
1044017.912,1413148.625,5632
1044005.436,1413148.767,5679
1043992.96,1413148.989,5726
1043980.487,1413149.208,5773
1043968.016,1413149.342,5820
1043955.552,1413149.394,5867
1043943.099,1413149.368,5914
1043930.908,1413149.318,5960
1043918.703,1413149.296,6006
1043906.226,1413149.316,6053
1043893.752,1413149.396,6100
1043885.44,1413149.429,6131.333333
1043877.131,1413149.382,6162.666667
1043868.828,1413149.257,6194
