X,Y,Z
1045635.883,1412972.185,6205.5
1045640.541,1412985.571,6252
1045645.386,1412999.377,6300
1045650.261,1413013.171,6348
1045655.063,1413026.829,6395.5
1045659.788,1413040.513,6443
1045664.468,1413054.211,6490.5
1045669.136,1413067.912,6538
1045673.778,1413081.621,6585.5
1045678.379,1413095.345,6633
1045680.994,1413103.146,6660
1045683.632,1413110.939,6687
1045686.083,1413118.151,6712
1045688.534,1413125.363,6737
