X,Y,Z
1044666.545,1413262.334,0
1044666.545,1413262.334,22
1044666.483,1413262.376,281.6
1044666.294,1413262.504,541.2
1044665.979,1413262.717,800.8
1044665.539,1413263.015,1060.4
1044664.973,1413263.398,1320
1044664.865,1413263.474,1367
1044664.768,1413263.545,1414
1044664.667,1413263.616,1460.5
1044664.543,1413263.689,1507
1044664.389,1413263.782,1554.5
1044664.198,1413263.908,1602
1044663.995,1413264.052,1648.5
1044663.794,1413264.202,1695
1044663.595,1413264.358,1742
1044663.402,1413264.516,1789
1044663.241,1413264.664,1835.5
1044663.135,1413264.795,1882
1044663.074,1413264.896,1928.5
1044663.05,1413264.954,1975
1044663.052,1413264.984,2023
1044663.074,1413264.997,2071
1044663.096,1413265.011,2118
1044663.102,1413265.04,2165
1044663.094,1413265.063,2211.5
1044663.072,1413265.059,2258
1044663.034,1413265.039,2305
1044662.983,1413265.014,2352
1044662.95,1413264.972,2398
1044662.966,1413264.9,2444
1044663.012,1413264.805,2492.5
1044663.062,1413264.7,2541
1044663.124,1413264.626,2572.666667
1044663.242,1413264.549,2604.333333
1044663.416,1413264.467,2636
1044663.648,1413264.389,2667.333333
1044663.943,1413264.32,2698.666667
1044664.301,1413264.261,2730
1044664.715,1413264.22,2761.666667
1044665.17,1413264.205,2793.333333
1044665.666,1413264.216,2825
1044666.148,1413264.286,2856.666667
1044666.563,1413264.446,2888.333333
1044666.91,1413264.697,2920
1044667.146,1413265.02,2950.666667
1044667.244,1413265.415,2981.333333
1044667.206,1413265.882,3012
1044667.043,1413266.387,3043.666667
1044666.775,1413266.864,3075.333333
1044666.402,1413267.314,3107
1044665.934,1413267.729,3138
1044665.361,1413268.118,3169
1044664.685,1413268.482,3200
1044663.91,1413268.884,3231.333333
1044663.06,1413269.379,3262.666667
1044662.133,1413269.966,3294
1044661.135,1413270.639,3325.666667
1044660.088,1413271.376,3357.333333
1044658.994,1413272.178,3389
1044657.827,1413273.029,3420.333333
1044656.54,1413273.932,3451.666667
1044655.131,1413274.886,3483
1044653.979,1413275.612,3506.25
1044652.703,1413276.335,3529.5
1044651.302,1413277.057,3552.75
1044649.778,1413277.776,3576
1044648.078,1413278.505,3599.75
1044646.219,1413279.227,3623.5
1044644.203,1413279.941,3647.25
1044642.03,1413280.646,3671
1044639.764,1413281.304,3694.25
1044637.378,1413281.905,3717.5
1044634.871,1413282.449,3740.75
1044632.245,1413282.935,3764
1044629.451,1413283.356,3787.75
1044626.559,1413283.682,3811.5
1044623.569,1413283.913,3835.25
1044620.482,1413284.048,3859
1044617.306,1413284.11,3882.5
1044613.984,1413284.122,3906
1044610.516,1413284.083,3929.5
1044606.904,1413283.994,3953
1044603.157,1413283.875,3976.5
1044599.279,1413283.746,4000
1044595.274,1413283.609,4023.5
1044591.142,1413283.463,4047
1044586.89,1413283.3,4070.5
1044582.524,1413283.115,4094
1044578.047,1413282.906,4117.5
1044573.46,1413282.674,4141
1044568.768,1413282.437,4164.5
1044563.978,1413282.213,4188
1044559.092,1413282.001,4211.5
1044554.11,1413281.803,4235
1044549.038,1413281.612,4258.5
1044543.88,1413281.424,4282
1044538.637,1413281.24,4305.5
1044533.312,1413281.06,4329
1044527.91,1413280.869,4352.5
1044522.439,1413280.656,4376
1044516.9,1413280.419,4399.5
1044511.295,1413280.16,4423
1044507.076,1413279.965,4440.5
1044502.815,1413279.784,4458
1044495.365,1413279.483,4488.333333
1044487.854,1413279.185,4518.666667
1044480.285,1413278.889,4549
1044474.735,1413278.704,4571
1044469.109,1413278.574,4593
1044463.409,1413278.501,4615
1044457.638,1413278.484,4637
1044451.799,1413278.524,4659
1044443.489,1413278.575,4690
1044435.111,1413278.537,4721
1044426.666,1413278.411,4752
1044420.137,1413278.28,4775.75
1044413.544,1413278.146,4799.5
1044406.887,1413278.01,4823.25
1044400.172,1413277.873,4847
1044391.633,1413277.719,4877
1044383.057,1413277.609,4907
1044374.444,1413277.544,4937
1044361.795,1413277.496,4981
1044349.164,1413277.482,5025
1044340.17,1413277.507,5056.333333
1044331.166,1413277.581,5087.666667
1044322.153,1413277.702,5119
1044313.333,1413277.869,5149.666667
1044304.529,1413278.087,5180.333333
1044295.741,1413278.356,5211
1044287.151,1413278.668,5241
1044278.56,1413279.03,5271
1044269.968,1413279.44,5301
1044261.014,1413279.895,5332.333333
1044252.097,1413280.348,5363.666667
1044243.22,1413280.8,5395
1044234.806,1413281.246,5424.666667
1044226.34,1413281.728,5454.333333
1044217.824,1413282.246,5484
1044208.815,1413282.794,5515.333333
1044199.827,1413283.305,5546.666667
1044190.861,1413283.78,5578
1044177.703,1413284.466,5624
1044164.52,1413285.181,5670
1044151.473,1413285.923,5715.5
1044138.431,1413286.704,5761
1044124.95,1413287.508,5808
1044111.442,1413288.269,5855
1044103.015,1413288.72,5884.333333
1044094.614,1413289.149,5913.666667
1044086.238,1413289.558,5943
1044077.405,1413290.016,5974
1044068.579,1413290.55,6005
1044059.764,1413291.16,6036
1044050.594,1413291.81,6068.333333
1044041.467,1413292.407,6100.666667
1044032.384,1413292.949,6133
1044023.395,1413293.441,6165
1044014.366,1413293.894,6197
1044005.296,1413294.309,6229
1043996.402,1413294.654,6260.333333
1043987.522,1413294.915,6291.666667
1043978.657,1413295.093,6323
1043969.795,1413295.17,6354.333333
1043960.926,1413295.127,6385.666667
1043952.052,1413294.965,6417
1043938.178,1413294.624,6466
1043924.317,1413294.294,6515
1043911.169,1413293.994,6561.5
1043898.022,1413293.707,6608
1043889.084,1413293.527,6639.666667
1043880.18,1413293.368,6671.333333
1043871.309,1413293.231,6703
1043862.657,1413293.102,6734
1043854.035,1413292.965,6765
1043845.443,1413292.82,6796
1043835.011,1413292.62,6833.666667
1043824.555,1413292.385,6871.333333
1043814.077,1413292.113,6909
1043803.075,1413291.84,6948.5
1043792.068,1413291.627,6988
1043783.518,1413291.46,7018.666667
1043774.963,1413291.242,7049.333333
1043766.403,1413290.973,7080
1043756.62,1413290.619,7115
1043746.813,1413290.23,7150
1043736.984,1413289.806,7185
1043725.31,1413289.283,7226.5
1043713.625,1413288.76,7268
1043706.983,1413288.475,7291.5
1043700.3,1413288.214,7315
1043693.577,1413287.975,7338.5
1043686.816,1413287.76,7362
1043678.15,1413287.479,7392
1043669.462,1413287.155,7422
1043660.754,1413286.788,7452
1043651.439,1413286.403,7484
1043642.095,1413286.075,7516
1043632.723,1413285.805,7548
1043622.154,1413285.542,7584
1043611.565,1413285.296,7620
1043600.957,1413285.065,7656
1043592.496,1413284.912,7684.666667
1043584.025,1413284.805,7713.333333
1043575.545,1413284.746,7742
1043562.218,1413284.68,7787
1043548.877,1413284.592,7832
1043539.575,1413284.562,7863.333333
1043530.256,1413284.605,7894.666667
1043520.923,1413284.723,7926
1043506.461,1413284.968,7974.5
1043491.99,1413285.225,8023
1043478.107,1413285.474,8069.5
1043464.218,1413285.717,8116
1043450.02,1413285.983,8163.5
1043435.806,1413286.29,8211
1043422.781,1413286.617,8254.5
1043409.752,1413286.997,8298
1043395.665,1413287.444,8345
1043381.563,1413287.903,8392
1043367.3,1413288.342,8439.5
1043353.031,1413288.72,8487
1043345.068,1413288.911,8513.5
1043337.103,1413289.098,8540
